   0.35	   146.85663	     0.01404
   0.45	   124.07534	     0.01291
   0.55	   101.72289	     0.01169
   0.69	    74.42483	     0.00707
   0.89	    49.25894	     0.00575
   1.12	    31.43791	     0.00411
   1.36	    19.01875	     0.00320
   1.71	     9.65691	     0.00161
   2.21	     3.99304	     0.00104
   2.71	     1.62152	     0.00066
   3.22	     0.70598	     0.00044
   3.72	     0.33122	     0.00030
   4.40	     0.12558	     0.00013
   5.42	     0.04119	     0.00007
   6.43	     0.01693	     0.00005
   7.45	     0.00826	     0.00003
   8.83	     0.00345	     0.00002
  10.86	     0.00084	     0.00001
