   0.35	    31.23375	     0.00458
   0.45	    25.28733	     0.00412
   0.55	    19.97690	     0.00366
   0.69	    13.98880	     0.00217
   0.89	     8.80996	     0.00172
   1.11	     5.39310	     0.00120
   1.36	     3.16532	     0.00092
   1.71	     1.56446	     0.00046
   2.21	     0.64251	     0.00029
   2.72	     0.27100	     0.00019
   3.22	     0.12643	     0.00013
   3.72	     0.06354	     0.00009
   4.41	     0.02683	     0.00004
   5.42	     0.00944	     0.00003
   6.44	     0.00419	     0.00002
   7.45	     0.00196	     0.00001
   8.82	     0.00087	     0.00001
  10.84	     0.00019	     0.00000
