0	5	  -0.0000143533	   0.0000013069
5	10	  -0.0000264707	   0.0000011745
10	15	  -0.0000350433	   0.0000012064
15	20	  -0.0000425558	   0.0000018097
20	25	  -0.0000493906	   0.0000023418
25	30	  -0.0000538984	   0.0000023970
30	35	  -0.0000582784	   0.0000030878
35	40	  -0.0000616458	   0.0000032716
40	50	  -0.0000731519	   0.0000032412
50	60	  -0.0000944072	   0.0000072778
60	70	  -0.0001478429	   0.0000162553
