   0.35	   617.40136	     0.02875
   0.45	   530.64077	     0.02665
   0.55	   440.67347	     0.02429
   0.70	   328.98074	     0.01484
   0.89	   222.52730	     0.01220
   1.12	   144.94311	     0.00881
   1.36	    88.67917	     0.00689
   1.71	    44.72449	     0.00346
   2.21	    18.27020	     0.00221
   2.71	     7.07783	     0.00138
   3.21	     2.87832	     0.00088
   3.72	     1.20600	     0.00057
   4.38	     0.40621	     0.00023
   5.41	     0.11271	     0.00012
   6.43	     0.04296	     0.00008
   7.45	     0.02060	     0.00005
   8.83	     0.00877	     0.00002
  10.87	     0.00207	     0.00001
