   0.35	   340.18840	     0.02136
   0.45	   291.72164	     0.01978
   0.55	   241.55056	     0.01800
   0.70	   179.32349	     0.01097
   0.89	   120.61948	     0.00900
   1.12	    78.17535	     0.00648
   1.37	    47.89023	     0.00507
   1.71	    24.37912	     0.00256
   2.21	    10.15467	     0.00165
   2.71	     4.02250	     0.00104
   3.21	     1.69755	     0.00067
   3.72	     0.74803	     0.00045
   4.39	     0.26925	     0.00019
   5.41	     0.07916	     0.00010
   6.43	     0.03199	     0.00007
   7.45	     0.01532	     0.00005
   8.83	     0.00685	     0.00002
  10.86	     0.00154	     0.00001
