   0.35	   412.62615	     0.02353
   0.45	   353.91423	     0.02179
   0.55	   293.18088	     0.01983
   0.70	   217.84348	     0.01209
   0.89	   146.80551	     0.00992
   1.12	    95.23869	     0.00715
   1.37	    58.31397	     0.00559
   1.71	    29.65414	     0.00282
   2.21	    12.27446	     0.00181
   2.71	     4.82282	     0.00114
   3.21	     2.01348	     0.00074
   3.72	     0.87540	     0.00048
   4.39	     0.30816	     0.00020
   5.41	     0.08850	     0.00011
   6.43	     0.03540	     0.00007
   7.45	     0.01696	     0.00005
   8.83	     0.00757	     0.00002
  10.87	     0.00172	     0.00001
