   0.35	    58.97292	     0.00630
   0.45	    48.66160	     0.00572
   0.55	    39.09281	     0.00513
   0.69	    27.93530	     0.00306
   0.89	    17.95255	     0.00246
   1.11	    11.20405	     0.00174
   1.36	     6.66358	     0.00134
   1.71	     3.32058	     0.00067
   2.21	     1.35801	     0.00043
   2.72	     0.56222	     0.00027
   3.22	     0.25660	     0.00019
   3.72	     0.12563	     0.00013
   4.40	     0.05156	     0.00006
   5.42	     0.01772	     0.00003
   6.44	     0.00780	     0.00002
   7.44	     0.00365	     0.00002
   8.82	     0.00165	     0.00001
  10.86	     0.00037	     0.00000
