   0.35	   279.55688	     0.01938
   0.45	   239.43205	     0.01794
   0.55	   197.94278	     0.01631
   0.70	   146.70148	     0.00993
   0.89	    98.44297	     0.00813
   1.12	    63.69695	     0.00585
   1.37	    38.98844	     0.00458
   1.71	    19.84295	     0.00231
   2.21	     8.30198	     0.00149
   2.71	     3.31247	     0.00094
   3.22	     1.41226	     0.00062
   3.72	     0.63109	     0.00041
   4.39	     0.23169	     0.00018
   5.41	     0.06986	     0.00010
   6.43	     0.02850	     0.00006
   7.45	     0.01371	     0.00004
   8.83	     0.00608	     0.00002
  10.86	     0.00136	     0.00001
