   0.35	   228.71356	     0.01754
   0.45	   195.38219	     0.01621
   0.55	   161.15767	     0.01472
   0.70	   119.05668	     0.00895
   0.89	    79.61432	     0.00732
   1.12	    51.38074	     0.00526
   1.37	    31.38879	     0.00411
   1.71	    15.94812	     0.00207
   2.21	     6.69549	     0.00134
   2.71	     2.68831	     0.00085
   3.22	     1.15874	     0.00056
   3.72	     0.52495	     0.00038
   4.39	     0.19628	     0.00016
   5.42	     0.06046	     0.00009
   6.43	     0.02500	     0.00006
   7.45	     0.01202	     0.00004
   8.83	     0.00534	     0.00002
  10.86	     0.00119	     0.00001
