   0.35	   103.79069	     0.00835
   0.45	    86.88137	     0.00764
   0.55	    70.65170	     0.00689
   0.69	    51.16255	     0.00415
   0.89	    33.47402	     0.00335
   1.12	    21.16211	     0.00238
   1.36	    12.69497	     0.00185
   1.71	     6.39848	     0.00093
   2.21	     2.64351	     0.00060
   2.72	     1.08326	     0.00038
   3.22	     0.47919	     0.00025
   3.72	     0.22935	     0.00018
   4.40	     0.08931	     0.00008
   5.42	     0.03017	     0.00005
   6.44	     0.01254	     0.00003
   7.45	     0.00615	     0.00002
   8.82	     0.00254	     0.00001
  10.86	     0.00062	     0.00000
