   0.35	   503.34549	     0.02600
   0.45	   432.30552	     0.02410
   0.55	   359.52260	     0.02198
   0.70	   267.48848	     0.01340
   0.89	   180.44769	     0.01101
   1.12	   117.32193	     0.00794
   1.37	    71.80979	     0.00621
   1.71	    36.36054	     0.00313
   2.21	    14.95262	     0.00200
   2.71	     5.86641	     0.00126
   3.21	     2.42415	     0.00081
   3.72	     1.04145	     0.00053
   4.38	     0.35032	     0.00022
   5.41	     0.10025	     0.00012
   6.43	     0.03869	     0.00007
   7.45	     0.01922	     0.00005
   8.83	     0.00863	     0.00002
  10.87	     0.00190	     0.00001
